"","State","county","fips","pred","with_without"
"3224","Illinois","Crawford County",17033,-14.8343902459178,"without"
"3225","Illinois","Cumberland County",17035,-14.6689733498463,"without"
"3226","Illinois","De Kalb County",17037,-13.9839245002741,"without"
"3227","Illinois","De Witt County",17039,-13.4461724644827,"without"
"3228","Illinois","Douglas County",17041,-17.2949835732417,"without"
"3229","Illinois","Du Page County",17043,-18.6259675210542,"without"
"3230","Illinois","Edgar County",17045,NA,"without"
"3231","Illinois","Edwards County",17047,NA,"without"
"3232","Illinois","Effingham County",17049,-15.8026454889038,"without"
"3233","Illinois","Fayette County",17051,-15.4156929787586,"without"
"3234","Illinois","Ford County",17053,-14.8082753396083,"without"
"3235","Illinois","Franklin County",17055,-15.1269267377496,"without"
"3236","Illinois","Fulton County",17057,-14.4244434176332,"without"
"3237","Illinois","Gallatin County",17059,NA,"without"
"3238","Illinois","Greene County",17061,-12.9291874317885,"without"
"3239","Illinois","Grundy County",17063,-19.6790614999668,"without"
"3240","Illinois","Hamilton County",17065,-16.0216991238723,"without"
"3241","Illinois","Hancock County",17067,-16.7518741352559,"without"
"3242","Illinois","Hardin County",17069,NA,"without"
"3243","Illinois","Henderson County",17071,NA,"without"
"3244","Illinois","Henry County",17073,-18.1407383752569,"without"
"3245","Illinois","Iroquois County",17075,-15.6300151677547,"without"
"3246","Illinois","Jackson County",17077,-12.551659506937,"without"
"3247","Illinois","Jasper County",17079,-13.7616265324085,"without"
"3248","Illinois","Jefferson County",17081,-17.2505509263984,"without"
"3249","Illinois","Jersey County",17083,-16.2873276458203,"without"
"3250","Illinois","Jo Daviess County",17085,-12.0792818520339,"without"
"3251","Illinois","Johnson County",17087,-13.2545344847363,"without"
"3252","Illinois","Kane County",17089,-19.4129377298427,"without"
"3253","Illinois","Kankakee County",17091,-18.1162114670213,"without"
"3254","Illinois","Kendall County",17093,-20.7733250014441,"without"
"3255","Illinois","Knox County",17095,-15.9069263220391,"without"
"3256","Illinois","Lake County",17097,-19.1320449610991,"without"
