Region	Category	2020-02-16	2020-02-17	2020-02-18	2020-02-19	2020-02-20	2020-02-21	2020-02-22	2020-02-23	2020-02-24	2020-02-25	2020-02-26	2020-02-27	2020-02-28	2020-02-29	2020-03-01	2020-03-02	2020-03-03	2020-03-04	2020-03-05	2020-03-06	2020-03-07	2020-03-08	2020-03-09	2020-03-10	2020-03-11	2020-03-12	2020-03-13	2020-03-14	2020-03-15	2020-03-16	2020-03-17	2020-03-18	2020-03-19	2020-03-20	2020-03-21	2020-03-22	2020-03-23	2020-03-24	2020-03-25	2020-03-26	2020-03-27	2020-03-28	2020-03-29
Kenai Peninsula Borough	Grocery & pharmacy	-1.5	-9.0	-10.0	-10.5	-4.0	-9.0	-4.0	3.5	-6.0	-6.0	0.0	0.5	6.5	0.0	1.0	0.0	3.0	4.0	1.0	-1.0	3.0	-2.0	3.0	6.0	13.0	17.0	15.0	22.5	17.0	14.0	5.5	10.0	1.5	-4.5	-7.0	-3.0	-10.0	-12.0	-16.0	-20.0	-12.5	-11.5	-26.0
Kenai Peninsula Borough	Parks																																											
Kenai Peninsula Borough	Transit stations																																											
Kenai Peninsula Borough	Workplace	-5.0	-15.0	1.0	0.0	1.5	1.0	-1.0	-1.0	2.0	0.0	4.0	3.0	3.0	-0.5	6.0	4.5	2.5	2.5	-0.5	-8.0	-1.0	-1.0	-11.0	-12.5	-11.0	-12.0	-15.0	-3.5	-0.5	-12.0	-12.5	-14.0	-20.5	-22.0	-15.5	-14.0	-27.5	-31.0	-33.0	-33.0	-32.0	-25.0	-24.5
Kenai Peninsula Borough	Residential		2.0	0.0	-1.0	-1.0				-1.0	-0.5	-1.0	-2.0				-1.5	-1.0	-0.5	-0.5				-0.5	1.0	1.0	2.0					4.0	5.0	8.0	9.0				10.0	11.5	12.0	13.5		
Ketchikan Gateway	Retail & recreation	4.0	3.5	-3.0	-6.0	-1.0	4.0	18.0	-0.5	-6.0	-1.0	0.0	2.5	14.0	25.0	11.0	19.0	16.0	10.0	18.0	21.5	38.0	20.5	9.5	16.5	18.5	15.0	13.0	21.5	20.0	18.5	15.5	0.5	-15.0	-14.0	-7.5	-29.0	-32.0	-32.0	-39.5	-43.5	-40.0	-40.0	-47.0
Ketchikan Gateway	Grocery & pharmacy													-21.0																					-23.0			-41.0			-50.0	-46.0	-39.5	
Ketchikan Gateway	Parks																																											
Ketchikan Gateway	Transit stations																																											
Ketchikan Gateway	Workplace		-20.5	3.5	2.0	5.5				2.0	4.0	3.0	3.0				2.0	1.0	-3.5	5.0				3.5	7.0	4.0	4.0	-3.0				-9.5	-21.5	-24.0	-27.5				-43.0	-40.0	-45.5	-43.0	-33.5	
